지점,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),일강수량(mm),최대 순간 풍속(m/s),최대 순간풍속 시각(hhmi),평균 풍속(m/s),최대 순간 풍속 풍향(deg)
400,2018-01-01,.3,-2.4,841,3.4,1438,0,6.4,1631,1.4,289.7
400,2018-01-02,-.9,-3.4,2356,2.2,1506,0,7.3,1355,1.7,239.1
400,2018-01-03,-3.7,-5.5,658,-.6,1527,0,6.3,1440,2,264.4
400,2018-01-04,-3.7,-6.7,701,-1.3,1951,0,4.2,130,1.1,64.7
400,2018-01-05,-1.5,-3.6,440,1.6,1353,0,6.3,1556,1.5,255.9
400,2018-01-06,-1.3,-4,438,2.2,1522,0,5,1203,1.6,250.3
400,2018-01-07,-.4,-4.9,846,2.3,1726,0,4.6,822,1.1,67.5
400,2018-01-08,1.8,-.8,2359,3.9,1451,.5,10.5,2114,1.8,281.3
400,2018-01-09,-3.3,-5.1,847,-.8,1,0,9.5,1420,2.4,270
400,2018-01-10,-6.5,-9.4,2357,-4,1342,0,9,1259,2.3,295.3
400,2018-01-11,-10.3,-12.5,2349,-7.6,1415,0,7.6,1440,2.4,233.4
400,2018-01-12,-9.4,-13.6,702,-5.8,2141,0,6.1,142,1.6,278.4
400,2018-01-13,-4.3,-6.6,409,-1.7,1630,0,3.9,1317,1.3,64.7
400,2018-01-14,.8,-4.5,702,5.5,1612,0,5.4,1525,1.4,196.9
400,2018-01-15,5.4,3.9,23,7.6,1549,0,5.8,1355,1.3,303.8
400,2018-01-16,3.9,1.3,434,6.5,1525,0,3.3,1903,.9,47.8
400,2018-01-17,5.1,3.2,628,8.3,1449,0,5.5,1227,1.1,73.1
400,2018-01-18,3.2,1.6,2349,5.6,1440,0,5.3,1552,1.6,261.6
400,2018-01-19,2.3,-.3,737,5.4,1544,0,5.7,1348,1.3,284.1
400,2018-01-20,3.2,-.1,257,6.5,1420,0,6,1123,1.4,239.1
400,2018-01-21,1.9,-2.1,817,5.5,1419,0,4.3,1521,1,261.6
400,2018-01-22,.6,-4.5,2356,4.6,1258,4.5,8.1,2253,1.6,275.6
400,2018-01-23,-11,-14,2357,-4.4,1,0,10.2,610,2.9,289.7
400,2018-01-24,-13.5,-15.3,813,-10.1,1608,0,9.1,1326,2.3,295.3
400,2018-01-25,-13.3,-15.7,825,-9.5,1539,0,7.7,1551,2.1,312.2
400,2018-01-26,-13.8,-17,809,-10.3,1632,0,7.8,34,2.2,281.3
400,2018-01-27,-9,-14.9,707,-4,1623,0,4.2,1557,1.4,286.9
400,2018-01-28,-5.1,-7.6,2327,-.8,1413,0,8.4,1913,2.1,323.4
400,2018-01-29,-7.5,-9.6,654,-4.9,1420,0,10.3,1435,2.1,247.5
400,2018-01-30,-4.5,-9.7,742,-1,1349,0,6.7,1418,1.3,267.2
400,2018-01-31,-.9,-2.1,2252,.9,1200,0,4.8,1912,1.5,286.9
400,2018-02-01,-2.4,-6.8,822,1.3,1519,0,6.1,1543,1.4,239.1
400,2018-02-02,-1.5,-6.1,706,3.1,1425,0,5.3,1741,1.4,272.8
400,2018-02-03,-6.5,-9,2327,-.7,1,0,8.9,541,2.8,281.3
400,2018-02-04,-8.6,-11.5,804,-5.3,1643,0,7.8,1238,2.4,191.3
400,2018-02-05,-8.4,-10.1,807,-5.1,1438,0,8.6,1420,2.6,295.3
400,2018-02-06,-9.4,-11.6,709,-5.8,1541,0,8.2,1238,2.3,278.4
400,2018-02-07,-7,-12,528,-2.4,1611,0,5.7,1243,1.5,250.3
400,2018-02-08,-3.4,-8.9,612,1.7,1617,0,4.5,1520,1.1,272.8
400,2018-02-09,.8,-4,228,6.1,1545,0,5.5,1726,1.3,213.8
400,2018-02-10,.3,-5.3,2244,3.9,1152,0,9.3,1317,2.1,292.5
400,2018-02-11,-5.2,-7.5,746,-2.5,1327,0,8.7,1346,2.3,306.6
400,2018-02-12,-4.9,-7.5,427,-1.7,1412,0,9.5,1444,2.3,309.4
400,2018-02-13,.3,-4.5,747,4.7,1547,0,10.5,1538,2.2,233.4
400,2018-02-14,4.1,.3,2317,8.4,1446,0,9.7,1203,2.3,250.3
400,2018-02-15,.3,-2.1,803,3.5,1413,0,6.4,1344,1.9,239.1
400,2018-02-16,.1,-3.5,652,4.5,1426,0,7.6,1625,1.7,275.6
400,2018-02-17,-2.1,-5.6,756,1.5,1611,0,8.4,1543,2.5,275.6
400,2018-02-18,.5,-3,434,4.7,1526,0,4.6,1858,1.1,300.9
400,2018-02-19,2.8,-.1,417,6.5,1618,0,4.3,1746,1,267.2
400,2018-02-20,2.3,-.5,446,6.1,1515,0,7.7,1551,1.7,300.9
400,2018-02-21,.1,-2.9,722,4.3,1444,0,7.4,1524,1.8,241.9
400,2018-02-22,1.9,-2.2,659,5.8,1527,0,9.1,1720,2.1,267.2
400,2018-02-23,5.3,.4,57,9.2,1509,4,9.6,1842,1.9,216.6
400,2018-02-24,3.5,1.8,813,6.7,1506,0,5.5,848,1.6,267.2
400,2018-02-25,2.8,0,609,7.4,1522,0,5.8,1614,1.5,289.7
400,2018-02-26,4.2,-1.5,743,10.1,1429,0,5.6,1624,1.1,300.9
400,2018-02-27,5,2,519,7.6,1544,0,3.4,1350,.8,168.8
400,2018-02-28,4.6,2.1,2026,8,1220,17,7.3,1639,1.8,56.3
400,2018-03-01,.6,-3.3,2320,3.9,556,1,10.2,918,3.1,272.8
400,2018-03-02,.6,-4.4,520,5.4,1614,0,5.7,11,1.3,272.8
400,2018-03-03,8.2,.9,547,16.2,1603,0,6.3,1501,1.4,199.7
400,2018-03-04,9.8,8,2350,12.2,1635,14,6.5,2302,1.2,87.2
400,2018-03-05,5.6,2.4,2343,10,1629,6,10.9,204,3.2,36.6
400,2018-03-06,5.4,.4,720,10.7,1512,0,4.8,1533,1.4,267.2
400,2018-03-07,6.6,3.3,519,10.9,1536,.5,6.4,1333,1.5,194.1
400,2018-03-08,5,3.1,712,9.4,1545,6.5,7.6,1922,1.5,292.5
400,2018-03-09,5.6,3.5,703,9.2,1418,0,5.8,1808,1.5,264.4
400,2018-03-10,5.3,2.3,503,9.3,1351,0,7.2,1430,1.8,295.3
400,2018-03-11,7.3,4.2,639,11.9,1546,0,6.2,1801,1.7,320.6
400,2018-03-12,8.9,3.2,633,15,1420,0,6.1,1623,1.4,292.5
400,2018-03-13,12.6,6.2,421,18.8,1411,0,8.6,1938,2,225
400,2018-03-14,17.3,14.2,1,21.7,1527,0,7.3,1429,1.8,261.6
400,2018-03-15,12.7,8.4,0,16.8,301,30.5,6.6,315,1.5,244.7
400,2018-03-16,6.5,4.3,730,10.4,1539,0,8.3,603,2.8,61.9
400,2018-03-17,7.6,2,622,13.4,1542,0,5.7,1914,1.6,286.9
400,2018-03-18,9.1,7.1,2359,12.3,1531,1,4.9,810,1,250.3
400,2018-03-19,8.3,6.5,358,10.3,1143,2,9.7,1511,2.8,70.3
400,2018-03-20,4.9,1.9,2351,8.7,1156,0,10.5,1344,3.5,67.5
400,2018-03-21,2.1,1.1,2040,4,1254,.5,8.8,726,2.3,67.5
400,2018-03-22,5.7,2.2,503,11.4,1408,0,7.2,1443,2.1,247.5
400,2018-03-23,7,2.5,504,12,1528,0,5.8,1452,1.6,267.2
400,2018-03-24,8.1,5.8,720,12.7,1353,0,6.6,1633,1.8,278.4
400,2018-03-25,9.9,5.2,737,16.8,1434,0,6.2,1443,1.5,258.8
400,2018-03-26,11.5,5.5,708,17.6,1503,0,6.4,1541,1.3,284.1
400,2018-03-27,14,8.5,632,20.3,1529,0,6.7,1523,1.3,233.4
400,2018-03-28,15.3,10.8,632,19.8,1344,0,7.1,1147,1.6,284.1
400,2018-03-29,16,13.3,632,20.5,1450,0,5.3,1617,1.3,250.3
400,2018-03-30,15.3,11.5,528,21.5,1438,0,7.1,1925,1.4,278.4
400,2018-03-31,14.9,11.2,640,19.5,1254,0,7.2,1322,1.6,292.5
400,2018-04-01,15.9,12.5,531,18.8,1554,0,5.8,1624,1.2,208.1
400,2018-04-02,18.8,15.9,526,23.4,1620,0,7.3,1216,1.3,230.6
400,2018-04-03,18.5,15.5,2349,21.7,1052,0,7,1602,1.7,210.9
400,2018-04-04,12.7,10,2359,16.2,1411,20.5,8.4,1049,2,56.3
400,2018-04-05,7.9,6.9,727,10.2,10,17.5,5.7,733,1.7,53.4
400,2018-04-06,6.6,3.7,2354,9.3,1004,9,11.1,1338,2.8,255.9
400,2018-04-07,4.9,1.9,222,8.6,1633,0,10.7,1723,3.5,303.8
400,2018-04-08,4.9,2.4,1915,8.6,1322,4,6.5,1631,1.9,81.6
400,2018-04-09,8.6,1.4,709,15.4,1740,0,4.5,1553,1.1,289.7
400,2018-04-10,15.8,8.1,449,22.4,1250,3.5,16.1,1733,3.4,208.1
400,2018-04-11,13.3,10,554,17.2,1513,0,9,1545,2.7,230.6
400,2018-04-12,14.3,8.9,559,19.4,1408,0,9,1205,2,255.9
400,2018-04-13,15.2,9.6,630,18.9,1653,0,6.2,2239,1.3,123.8
400,2018-04-14,9.9,7.1,907,15,1,12.5,6.8,2224,1.6,272.8
400,2018-04-16,,,,,,0,,,,
400,2018-04-17,13.8,8.5,602,19.9,1354,0,6.2,1717,1.5,275.6
400,2018-04-18,14,9,512,19.4,1350,0,7,1610,1.5,278.4
400,2018-04-19,15.1,9.6,600,20.7,1526,0,6.7,1611,1.6,210.9
400,2018-04-20,19.3,12,555,26,1338,0,5.5,1634,1.1,315
400,2018-04-21,19.9,13.7,610,25.3,1429,0,7.2,1314,1.3,306.6
400,2018-04-22,16.1,10.6,2353,21.8,1411,10,8.4,2157,1.6,42.2
400,2018-04-23,9.6,8.7,917,11,111,67.5,7,254,2.6,61.9
400,2018-04-24,12.5,9.7,400,15,1400,1.5,8.1,502,2.5,53.4
400,2018-04-25,15.7,7.8,557,23.5,1514,0,5.8,1826,1.2,286.9
400,2018-04-26,16.3,11.8,518,22,1401,0,6.6,1503,1.6,267.2
400,2018-04-27,16.5,10.8,552,22.8,1518,0,5.9,1714,1.6,317.8
400,2018-04-28,16.5,12,556,21.5,1253,0,8.1,2017,1.6,239.1
400,2018-04-29,17.1,10.4,612,22.8,1452,0,7.2,1654,1.5,247.5
400,2018-04-30,19.6,15.3,355,24.8,1611,0,5.5,1825,1.5,300.9
400,2018-05-01,21,17.9,434,24,1333,0,4.8,1301,1.2,295.3
400,2018-05-02,15.5,9.3,2345,20.8,43,5.5,9.2,1925,1.8,261.6
400,2018-05-03,12.2,8.5,455,15.4,1019,5.5,10.3,1247,2.3,216.6
400,2018-05-04,15.1,11.3,129,19.9,1353,0,9.1,958,3.2,247.5
400,2018-05-05,18.9,12.8,514,24.6,1542,0,8,1256,2.2,180
400,2018-05-06,16.7,14.8,935,19.4,1,25.5,7.3,31,1.3,233.4
400,2018-05-07,19.9,15,505,26.2,1714,0,5.2,1952,1.2,216.6
400,2018-05-08,17.4,12.4,2352,22,1401,0,7.2,1935,2.3,75.9
400,2018-05-09,16.4,11.1,531,21.5,1733,0,6.4,126,1.8,67.5
400,2018-05-10,16.2,12.4,602,21.7,1355,0,6.9,1508,1.8,312.2
400,2018-05-11,16.9,12.8,457,22.2,1358,0,6.1,1814,1.3,281.3
400,2018-05-12,14.8,11.1,845,17.5,2,33,6,1628,.8,216.6
400,2018-05-13,16.2,13.6,547,19.8,1403,0,6,1326,1.9,258.8
400,2018-05-14,19,12.4,609,26.2,1524,0,5.3,1544,1.2,278.4
400,2018-05-15,24.1,16.5,534,30.3,1344,0,5.2,1633,1,196.9
400,2018-05-16,23.2,22.2,658,25.7,1,36.5,9.6,1104,1.2,236.3
400,2018-05-17,21.4,19.1,440,25.3,1245,103,11.8,324,.9,326.3
400,2018-05-18,16.3,12.8,2307,19.4,4,6,7.7,2249,1.8,67.5
400,2018-05-19,18.1,11.8,503,24.9,1656,0,6.7,1229,2.1,53.4
400,2018-05-20,17.9,13.7,523,22.4,1723,0,7.2,1505,2,75.9
400,2018-05-21,18.6,13.2,543,23.6,1414,0,5.5,1520,1.1,180
400,2018-05-22,18.5,16,446,23.2,1336,13,4.8,1545,.7,278.4
400,2018-05-23,18.3,15.1,545,23.4,1602,7,7.5,1614,2,284.1
400,2018-05-24,19.5,13.2,500,24.7,1618,0,7.5,1241,2,250.3
400,2018-05-25,21,15.6,600,26.9,1316,0,6.8,1543,1.4,281.3
400,2018-05-26,22.4,15.5,541,29.6,1524,0,7,1656,1.5,247.5
400,2018-05-27,21.3,18.4,446,25.2,1402,0,6,1441,1.4,253.1
400,2018-05-28,22.8,16.4,519,29.5,1354,0,6.5,1630,1.5,289.7
400,2018-05-29,21.9,19.2,2341,26.9,1443,2.5,6.3,1519,1.7,261.6
400,2018-05-30,20.7,16.8,2334,25.2,1347,0,6.9,1525,1.8,250.3
400,2018-05-31,21.9,15.7,533,27.6,1721,0,5.5,1819,1.7,289.7
400,2018-06-01,25,19.5,525,30.6,1450,0,7.2,1359,1.8,286.9
400,2018-06-02,24.6,19.4,443,30.4,1525,0,7.4,1459,1.7,239.1
400,2018-06-03,25,18.5,525,31,1449,0,6.3,1631,1.5,292.5
400,2018-06-04,23.7,20,509,28.1,1236,0,6.6,1342,1.6,270
400,2018-06-05,24.5,20.1,534,29.1,1246,0,6.2,1644,1.3,244.7
400,2018-06-06,24.1,20.9,523,27.8,1354,0,6.8,1540,1.7,253.1
400,2018-06-07,23.2,18.9,609,29.4,1420,0,6.2,1748,1.8,272.8
400,2018-06-08,22.4,19.2,327,27.2,1507,0,5.9,2038,1.9,284.1
400,2018-06-09,24,20.3,550,30,1425,1,6.1,1233,1.6,64.7
400,2018-06-10,21.6,18.7,340,24.6,1619,.5,6,17,1.6,81.6
400,2018-06-11,20.4,17.7,2350,24.4,1336,2,5.2,837,1.5,64.7
400,2018-06-12,21.8,17.5,414,26.9,1429,1,6.6,1840,1.6,284.1
400,2018-06-13,22.7,19.3,410,27.3,1357,0,5.7,1838,1.2,334.7
400,2018-06-14,22.1,18.9,740,26.1,1519,2.5,5.2,804,1.3,289.7
400,2018-06-15,21.8,18.3,511,26.5,1516,.5,7.4,1250,2,47.8
400,2018-06-16,22.7,17.4,501,29,1728,0,5.2,2009,1.6,250.3
400,2018-06-17,23.6,20.2,447,27.6,1429,0,5.7,1850,1,284.1
400,2018-06-18,25.8,21,408,31,1558,0,6.4,1607,1.5,233.4
400,2018-06-19,23.2,20.7,2358,28,1419,0,7.2,1505,1.6,163.1
400,2018-06-20,23.2,20.1,304,29.2,1609,0,7.6,1736,2.3,267.2
400,2018-06-21,24.1,20,414,29,1434,0,7.5,1533,2.1,295.3
400,2018-06-22,26.1,20,546,32.6,1501,0,6.9,1529,1.5,230.6
400,2018-06-23,25.1,22.3,2348,29.5,1211,0,6.9,1631,1.8,253.1
400,2018-06-24,25.8,20.5,622,32.5,1422,0,6.8,1542,1.8,244.7
400,2018-06-25,27.8,22,351,33.7,1410,0,5.8,1620,1.1,236.3
400,2018-06-26,22.8,20,840,28.5,10,48.5,9.9,2211,2.2,267.2
400,2018-06-27,23.1,19.3,623,26.7,1326,.5,7.4,237,1.8,258.8
400,2018-06-28,23.6,19.5,1734,28.4,1320,10,7.1,1456,1.2,230.6
400,2018-06-29,25.5,21.5,401,29.4,1550,1.5,6.2,1552,1.6,264.4
400,2018-06-30,25.6,22.8,540,29.6,1502,3.5,4.9,1804,1,208.1
400,2018-07-01,22,20.8,1141,23.7,325,81.5,4.4,1141,1.1,95.6
400,2018-07-02,22.5,20.8,417,24.9,1715,73,5.9,134,.9,160.3
